sales_amount,zip_code
2505756.0,61071
2503120.5,61073
2478462.0,61068
2458211.0,60134
2449917.0,60564
2436006.0,60013
2435655.5,62205
2429102.5,60096
2395246.0,60436
2381650.0,61866
2363664.0,61443
2356606.5,62060
2355580.0,61520
2326020.5,61801
2319538.5,60143
2315816.0,61802
2274491.5,61764
2198337.0,60516
2196849.5,60447
2191583.5,60521
2178521.5,60481
2176448.0,60084
2173965.0,62035
2152750.5,60555
2132021.5,61607
2131456.5,60163
2122336.5,61114
2086357.0,61356
2063147.5,60033
2060048.0,60654
2040636.5,62095
2018167.5,60416
1999996.5,60560
1999733.5,61115
1987104.5,60449
1941521.5,62232
1935561.0,61455
1928206.5,61264
1910284.5,60631
1872426.5,60586
1864080.5,60169
1838259.5,61944
1819248.5,60464
1819037.0,60565
1816576.0,60091
1795103.0,60165
1787020.0,60051
1786300.5,62901
1771230.5,60950
1749743.0,62966
1715134.5,61342
1697892.5,62948
1683045.5,61920
1676607.0,62881
1641518.0,60156
1639598.0,61301
1631982.0,61462
1615468.0,62471
1605885.0,62450
1584804.0,62249
1568958.5,60548
1559678.5,62056
1556558.0,62298
1553396.5,60410
1537668.5,62052
1527056.0,61727
1517744.5,61016
1512620.5,62294
1508848.0,61254
1503319.5,60042
1497230.0,62812
1486717.0,60467
1479274.5,60545
1471959.5,62204
1436134.0,60071
1430312.5,61282
1423358.0,60044
1408622.0,62618
1408006.5,62960
1406716.0,60403
1393278.5,61362
1377518.0,61523
1372989.0,61610
1364669.0,61616
1364655.5,62523
1362242.0,61571
1357496.0,60010
1345063.5,60480
1339154.5,61853
1325918.0,62837
1323989.0,62832
1317192.5,62946
1300045.5,61550
1299777.5,62010
1295484.5,62024
1284460.5,62896
1282552.0,60152
1277323.0,61061
1274348.0,60041
1270852.0,62557
1268209.0,60554
1259784.0,62258
1246642.0,61605
1239139.5,60140
1227785.0,60471
1213740.5,60190
1202126.5,60942
1200515.5,60526
1198284.0,62363
1170835.5,61010
1152255.5,60461
1149636.5,62207
